ID,Province/Cities,Home or abroad,Status,Main Classification,Applicant
157,Jiangsu,Mainland of China,invalid,A61K31,江苏先声药物研究有限公司
158,Jiangsu,Mainland of China,invalid,A61K9,中国药科大学
159,Hunan,Mainland of China,invalid,A61K31,长沙理工大学
160,Jiangxi,Mainland of China,invalid,A61K31,江西山香药业有限公司
161,Jiangxi,Mainland of China,invalid,C07H17,江西山香药业有限公司
162,Jiangxi,Mainland of China,invalid,A61K31,江西山香药业有限公司
163,Jiangsu,Mainland of China,invalid,A61K9,中国药科大学
164,Henan,Mainland of China,invalid,A61K9,河南中帅医药科技股份有限公司
165,Jilin,Mainland of China,invalid,A61K31,吉林省帝医生物科技有限公司
166,Jilin,Mainland of China,invalid,A61K31,吉林大学
167,Hunan,Mainland of China,valid,C07D417,湖南大学
168,Hunan,Mainland of China,valid,C07D417,湖南大学
169,Guangdong,Mainland of China,valid,C07F9,中山大学
170,Guangdong,Mainland of China,valid,C07D211,广州市恒诺康医药科技有限公司
171,Hunan,Mainland of China,valid,C07D401,湖南大学
172,Hunan,Mainland of China,valid,C07D277,湖南大学
173,Hunan,Mainland of China,valid,C07D277,湖南大学
174,Hunan,Mainland of China,valid,C07D 417,长沙理工大学
175,Hunan,Mainland of China,valid,C07D 277,长沙理工大学
176,Chongqing,Mainland of China,valid,C07D 207,重庆医科大学
177,Hunan,Mainland of China,valid,C07D307,湖南大学
178,Hunan,Mainland of China,valid,C07D307,湖南大学
179,Hunan,Mainland of China,valid,C07D493,湖南大学
180,Hunan,Mainland of China,valid,C07D277,湖南大学
181,Hunan,Mainland of China,valid,C07C49,湖南大学
182,Hunan,Mainland of China,valid,C07D277,湖南大学
183,Hunan,Mainland of China,valid,C07D277,湖南大学
184,Zhejiang,Mainland of China,valid,C07D407,宁波工程学院
185,Hubei,Mainland of China,valid,C07D401,三峡大学
186,Hubei,Mainland of China,valid,C07D213,三峡大学
187,Hubei,Mainland of China,valid,C07D213,三峡大学
188,Jiangsu,Mainland of China,valid,A61K31,中国药科大学
189,Guangdong,Mainland of China,valid,A61K31,广州市恒诺康医药科技有限公司
190,Hunan,Mainland of China,valid,C07D417,湖南大学
191,Shandong,Mainland of China,valid,C07D333,山东大学
192,Hunan,Mainland of China,valid,A61K31,湖南大学
193,Hunan,Mainland of China,valid,C07D417,湖南大学
194,Guangdong,Mainland of China,valid,C07C233,广州同隽医药科技有限公司
195,Guangdong,Mainland of China,valid,C07D211,广州市恒诺康医药科技有限公司
196,Taiwan,"Taiwan, China",valid,A61K31,中央研究院
197,Beijing,Mainland of China,valid,A61K31,北京普禄德医药科技有限公司
198,Guangdong,Mainland of China,valid,C07C233,中山大学
199,Taiwan,"Taiwan, China",valid,A61K31,中央研究院
200,Taiwan,"Taiwan, China",valid,A61K31,梁启铭
201,Shanghai,Mainland of China,In Review,C07D 413,华东理工大学
202,Hunan,Mainland of China,In Review,C07D 249,湖南大学
203,Hunan,Mainland of China,In Review,C07C 251,长沙理工大学
204,Guangdong,Mainland of China,In Review,C07D 213,五邑大学
205,Hunan,Mainland of China,In Review,C07C 249,湖南大学
206,Shanghai,Mainland of China,In Review,C07C251,上海应用技术大学
207,Yunnan,Mainland of China,In Review,C07H17,云南民族大学
208,Shanghai,Mainland of China,In Review,A61K31,上海应用技术大学
209,Guangdong,Mainland of China,In Review,A61K31,广州医科大学附属第一医院
210,Hunan,Mainland of China,In Review,C07D249,湖南大学
211,Hunan,Mainland of China,In Review,C07D249,湖南大学
212,Shandong,Mainland of China,In Review,C07C39,中国科学院海洋研究所
213,Hunan,Mainland of China,In Review,C07D263,湖南大学
214,Hunan,Mainland of China,In Review,C07D417,湖南大学
215,Hunan,Mainland of China,In Review,C07D417,湖南大学
216,Hunan,Mainland of China,In Review,C07D277,湖南大学
217,Hunan,Mainland of China,In Review,C07D277,湖南大学
218,Hunan,Mainland of China,In Review,C07D277,湖南大学
219,Shandong,Mainland of China,In Review,C07D493,中国科学院海洋研究所
220,Shandong,Mainland of China,In Review,C07D241,山东大学
221,Shandong,Mainland of China,In Review,C07C 47,中国海洋大学
222,Liaoning,Mainland of China,In Review,C07C 311,沈阳药科大学
223,Hunan,Mainland of China,In Review,C07D277,湖南大学
224,Hunan,Mainland of China,In Review,C07D277,湖南大学
225,Shandong,Mainland of China,In Review,C07D249,山东省农业科学院家禽研究所
226,Hunan,Mainland of China,In Review,C07D513,湖南大学
227,Hunan,Mainland of China,In Review,C07D409,湖南大学
228,Chongqing,Mainland of China,In Review,C07D207,重庆医科大学
229,Chongqing,Mainland of China,In Review,C07C233,重庆医科大学
230,Shanghai,Mainland of China,In Review,A61K31,上海应用技术大学
231,Sichuan,Mainland of China,In Review,C07D519,四川大学
232,Hunan,Mainland of China,In Review,C07D417,南华大学
233,Hunan,Mainland of China,In Review,C07D277,南华大学
234,Hunan,Mainland of China,In Review,C07D417,南华大学
235,Beijing,Mainland of China,In Review,C07D277,中国医学科学院药物研究所
236,Shandong,Mainland of China,In Review,C07C231,山东大学
237,Jiangsu,Mainland of China,In Review,C07C279,江苏康缘药业股份有限公司
238,Liaoning,Mainland of China,In Review,C07C233,沈阳药科大学
239,Guangdong,Mainland of China,In Review,C07D211,广州市恒诺康医药科技有限公司
240,Hongkong,China Special Administrative Region,In Review,A61K31,新兴病毒治疗（香港）公司
242,Beijing,Mainland of China,valid,A61K31,中国人民解放军军事医学科学院毒物药物研究所
244,Henan,Mainland of China,valid,A61K9,河南中帅医药科技股份有限公司
245,Jilin,Mainland of China,valid,A61K31,吉林大学
246,Jilin,Mainland of China,valid,A61K31,吉林大学
247,Beijing,Mainland of China,valid,A61K31,中国科学院微生物研究所
248,Tianjin,Mainland of China,valid,C07D271,南开大学
249,Beijing,Mainland of China,valid,C07D471,中国医学科学院医药生物技术研究所
250,Beijing,Mainland of China,In Review,A61K31,中国疾病预防控制中心病毒病预防控制所
251,Beijing,Mainland of China,In Review,A61K31,中国疾病预防控制中心病毒病预防控制所
252,Beijing,Mainland of China,In Review,A61K31,中国疾病预防控制中心病毒病预防控制所
253,Beijing,Mainland of China,In Review,A61K31,中国疾病预防控制中心病毒病预防控制所
254,Beijing,Mainland of China,In Review,A61K31,中国疾病预防控制中心病毒病预防控制所
255,Beijing,Mainland of China,In Review,A61K31,中国疾病预防控制中心病毒病预防控制所
257,Yunnan,Mainland of China,valid,C07D493,中国科学院昆明植物研究所
259,Hongkong,China Special Administrative Region,valid,C07H21,港大科桥有限公司
262,Beijing,Mainland of China,valid,A61K31,中国人民解放军军事医学科学院毒物药物研究所
263,Guangdong,Mainland of China,valid,A61K9,广东天普生化医药股份有限公司
266,Beijing,Mainland of China,In Review,A61K31,中国医学科学院药物研究所
267,Shanghai,Mainland of China,valid,A61K31,上海华大天源生物科技有限公司
270,Jiangsu,Mainland of China,In Review,A61K31,江苏康缘药业股份有限公司
272,Zhejiang,Mainland of China,In Review,C07D493,徐挺
273,Ningxia,Mainland of China,In Review,C07D215,中卫市创科知识产权投资有限公司
274,Tianjin,Mainland of China,valid,A61K31,天津市国际生物医药联合研究院
275,Tianjin,Mainland of China,valid,C07D209,天津市国际生物医药联合研究院
276,Tianjin,Mainland of China,valid,A61K31,天津市国际生物医药联合研究院
277,Tianjin,Mainland of China,In Review,A61K31,天津国际生物医药联合研究院
278,Tianjin,Mainland of China,invalid,A61K33,天津国际生物医药联合研究院
279,Tianjin,Mainland of China,invalid,A61K31,天津市国际生物医药联合研究院
280,Tianjin,Mainland of China,invalid,C07D209,天津市国际生物医药联合研究院
281,Tianjin,Mainland of China,invalid,A61K31,天津市国际生物医药联合研究院
282,Tianjin,Mainland of China,invalid,A61K31,天津国际生物医药联合研究院
283,Tianjin,Mainland of China,invalid,C07D207,天津国际生物医药联合研究院
285,Beijing,Mainland of China,invalid,C07D233,北京大学
286,Beijing,Mainland of China,invalid,A61P11,北京中医药大学
287,Beijing,Mainland of China,invalid,A61K31,清华大学
288,Beijing,Mainland of China,invalid,A61K31,北京大学
289,Liaoning,Mainland of China,invalid,C07D213,大连理工大学
290,Beijing,Mainland of China,invalid,A61K31,中国医学科学院医药生物技术研究所
291,Shanghai,Mainland of China,invalid,A61K31,上海第二医科大学附属仁济医院
292,Shanghai,Mainland of China,invalid,A61K31,中国人民解放军第二军医大学
293,Shanghai,Mainland of China,invalid,A61K31,中国科学院上海药物研究所
295,Beijing,Mainland of China,invalid,A61K31,任启生
298,Tianjin,Mainland of China,invalid,A61K31,南开大学
300,Shanghai,Mainland of China,invalid,C07D277,中国科学院上海药物研究所
301,Shanghai,Mainland of China,invalid,C07D277,中国科学院上海药物研究所
302,Guangdong,Mainland of China,invalid,A61K31,广州医学院第一附属医院
303,Shanghai,Mainland of China,invalid,A61K31,复旦大学
305,Yunnan,Mainland of China,invalid,A61K31,昆明医学院
306,Shanghai,Mainland of China,invalid,A61K31,中国科学院上海药物研究所
307,Shanghai,Mainland of China,invalid,A61K31,中国科学院上海药物研究所
308,Liaoning,Mainland of China,invalid,C07D209,沈阳药科大学
309,Guangxi,Mainland of China,invalid,C07C50,桂林医学院
311,Beijing,Mainland of China,invalid,C07H17,清华大学
312,Shanghai,Mainland of China,invalid,A61K31,中国科学院上海药物研究所
313,Shanghai,Mainland of China,invalid,A61K31,中国科学院上海药物研究所
314,Shanghai,Mainland of China,invalid,A61K9,中国科学院上海药物研究所
315,Beijing,Mainland of China,invalid,A61K31,中国人民解放军军事医学科学院放射医学研究所
316,Tianjin,Mainland of China,invalid,A61K31,中国医学科学院血液学研究所
317,Beijing,Mainland of China,invalid,A61K31,北京大学
322,Taiwan,"Taiwan, China",invalid,C07D207,太景生物科技股份有限公司
